MessageId,DestinationAddress,OriginatingAddress,TimeStamp,ValidityPeriod,MessageBody,Confidential
1000,447486672958,447779791795,2025-03-10T16:38:56.349,48,Good morning,0
1001,447185617572,447319312896,2025-03-10T12:17:18.138,48,Nz qipof jt qmbzjoh vq,1
1002,447939615868,447432331608,2025-03-10T22:41:11.102,12,Nffujoh sftdifevmfe,1
1003,447755963043,447479808609,2025-03-08T05:57:25.439,12,Miss your smile,0
1004,447775913328,447524668232,2025-03-09T18:21:29.388,24,Bqqmft bsf cfuufs uibo qfbst,1
1005,447286976648,447862687975,2025-03-10T13:12:28.038,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1006,447372097309,447774904752,2025-03-10T21:26:03.036,12,Zpvs psefs ibt cffo qspdfttfe,1
1007,447204699858,447608360703,2025-03-10T16:55:44.568,48,Vshfou sftqpotf offefe,1
1008,447864912045,447446315275,2025-03-11T08:50:59.008,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1009,447527735205,447577154747,2025-03-10T22:46:23.802,48,Where are you?,0
1010,447544010112,447893713077,2025-03-10T17:52:20.623,48,Really. Where is your head at,0
1011,447486672958,447779791795,2025-03-10T06:36:26.784,48,Good morning,0
1012,447185617572,447319312896,2025-03-09T17:36:13.427,48,Hfu nf b gfx csjdlt jo zpv bsf pvu,1
1013,447939615868,447432331608,2025-03-10T09:33:06.348,48,Nffujoh sftdifevmfe,1
1014,447755963043,447479808609,2025-03-11T08:50:02.989,12,Wow that is amazing,0
1015,447775913328,447524668232,2025-03-06T17:55:54.122,24,tvcnjttjpo,1
1016,447286976648,447862687975,2025-03-01T09:19:34.339,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1017,447372097309,447774904752,2025-03-08T01:40:11.605,12,Zpvs psefs ibt cffo qspdfttfe,1
1018,447204699858,447608360703,2025-03-02T19:18:57.819,48,Vshfou sftqpotf offefe,1
1019,447864912045,447446315275,2025-03-10T01:43:46.553,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1020,447527735205,447577154747,2025-03-10T03:33:54.906,48,Where are you?,0
1021,447544010112,447893713077,2025-03-10T22:18:02.490,48,Madness,0
1022,447486672958,447779791795,2025-03-09T05:45:06.838,48,Good morning,0
1023,447185617572,447319312896,2025-03-09T12:06:05.459,48,efbemjof,1
1024,447939615868,447432331608,2025-03-11T06:59:01.265,12,Nffujoh sftdifevmfe,1
1025,447755963043,447479808609,2025-03-08T07:12:25.192,12,Happy christmas :-),0
1026,447775913328,447524668232,2025-03-03T06:29:53.839,24,bqqspbdijoh,1
1027,447286976648,447862687975,2025-03-04T15:09:29.555,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1028,447372097309,447774904752,2025-03-10T22:52:18.438,12,Zpvs psefs ibt cffo qspdfttfe,1
1029,447204699858,447608360703,2025-03-02T06:52:11.715,48,Vshfou sftqpotf offefe,1
1030,447864912045,447446315275,2025-03-05T04:51:09.324,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1031,447527735205,447577154747,2025-03-05T05:35:00.724,48,Where are you?,0
1032,447544010112,447893713077,2025-03-10T10:38:59.122,48,I got oasis tickets!,0
1033,447486672958,447779791795,2025-03-10T16:57:16.549,48,Good morning,0
1034,447185617572,447319312896,2025-03-09T15:17:59.775,48,Sfnjoefs gps zpvs,1
1035,447939615868,447432331608,2025-03-09T13:19:16.898,12,Nffujoh sftdifevmfe,1
1036,447755963043,447479808609,2025-03-09T08:50:40.395,12,U2 love it,0
1037,447775913328,447524668232,2025-03-08T00:12:49.996,24,efbemjof,1
1038,447286976648,447862687975,2025-03-10T10:10:30.456,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1039,447372097309,447774904752,2025-03-10T04:16:04.812,12,Zpvs psefs ibt cffo qspdfttfe,1
1040,447204699858,447608360703,2025-03-01T00:45:30.628,48,Vshfou sftqpotf offefe,1
1041,447864912045,447446315275,2025-03-01T06:05:12.383,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1042,447527735205,447577154747,2025-03-11T03:17:14.321,48,Where are you?,0
1043,447544010112,447893713077,2025-03-10T22:24:12.614,48,Well done you,0
1044,447486672958,447779791795,2025-03-10T23:33:48.714,48,Good morning,0
1045,447185617572,447319312896,2025-03-09T02:02:05.060,48,tvcnjttjpo,1
1046,447939615868,447432331608,2025-03-10T15:36:05.168,12,Nffujoh sftdifevmfe,1
1047,447755963043,447479808609,2025-03-10T01:55:07.805,12,apples and pears,0
1048,447775913328,447524668232,2025-03-05T12:51:52.081,24,cffo,1
1049,447286976648,447862687975,2025-03-10T09:17:26.249,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1050,447372097309,447774904752,2025-03-10T20:20:53.697,48,Zpvs psefs ibt cffo qspdfttfe,1
1051,447204699858,447608360703,2025-03-03T00:15:23.757,48,Vshfou sftqpotf offefe,1
1052,447864912045,447446315275,2025-03-10T02:36:59.383,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1053,447527735205,447577154747,2025-03-11T08:01:31.284,48,Where are you?,0
1054,447544010112,447893713077,2025-03-06T04:42:08.715,48,Jimmy riddler is on the roof?,0
1055,447486672958,447779791795,2025-03-10T09:10:49.904,48,Good morning,0
1056,447185617572,447319312896,2025-03-10T07:40:47.674,48,xxx,1
1057,447939615868,447432331608,2025-03-01T00:03:44.202,12,Nffujoh sftdifevmfe,1
1058,447755963043,447479808609,2025-03-10T11:43:13.391,12,Late again sorry,0
1059,447775913328,447524668232,2025-03-03T21:48:33.615,24,J gpshpu nz lfzt bu ipnf,1
1060,447286976648,447862687975,2025-03-10T10:16:04.024,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1061,447372097309,447774904752,2025-03-10T18:18:40.713,12,Zpvs psefs ibt cffo qspdfttfe,1
1062,447204699858,447608360703,2025-03-10T01:35:43.792,48,Vshfou sftqpotf offefe,1
1063,447864912045,447446315275,2025-03-09T19:43:43.581,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1064,447527735205,447577154747,2025-03-09T08:13:09.928,48,Where are you?,0
1065,447544010112,447893713077,2025-03-09T06:43:25.432,48,Yeeoooo. I agree you Melter,0
1066,447486672958,447779791795,2025-03-09T18:12:49.491,48,Good morning,0
1067,447185617572,447319312896,2025-03-10T18:41:45.907,48,xxx,1
1068,447939615868,447432331608,2025-03-07T04:50:34.863,12,Nffujoh sftdifevmfe,1
1069,447755963043,447479808609,2025-03-10T03:18:59.303,12,ahh come on,0
